Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Yield,CV (%)
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,LINN,107,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","2,081",26.4
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,LINN,107,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,134",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,LINN,107,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"177,788",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,LYON,111,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","4,950",21.7
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,LYON,111,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"11,845",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,LYON,111,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"518,345",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MIAMI,121,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","1,936",6.1
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MIAMI,121,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,860",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MIAMI,121,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"307,641",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MIAMI,121,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MORRIS,127,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","7,826",62.9
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MORRIS,127,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"19,456",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,MORRIS,127,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"747,718",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,OSAGE,139,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","4,271",20.7
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,OSAGE,139,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"5,890",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,OSAGE,139,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"352,571",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,SHAWNEE,177,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)",997,84.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,SHAWNEE,177,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,534",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,SHAWNEE,177,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"67,548",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,SHAWNEE,177,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,WABAUNSEE,197,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)",208,39.8
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,WABAUNSEE,197,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,152",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,EAST CENTRAL,80,WABAUNSEE,197,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"43,404",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLAY,27,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","19,360",9.9
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLAY,27,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"44,093",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLAY,27,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,661,061",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLAY,27,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,598",21.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLOUD,29,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","17,659",21.7
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLOUD,29,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"48,892",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLOUD,29,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,227,669",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLOUD,29,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,JEWELL,89,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","23,277",30.9
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,JEWELL,89,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"63,988",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,JEWELL,89,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,820,880",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,JEWELL,89,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","30,471",14.2
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"95,702",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"4,023,148",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,151",21.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OSBORNE,141,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","28,727",13.4
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OSBORNE,141,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"67,481",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OSBORNE,141,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,807,771",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OSBORNE,141,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,136,21.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OTTAWA,143,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","26,000",34.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OTTAWA,143,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"58,078",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OTTAWA,143,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,156,806",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OTTAWA,143,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,728,21.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,PHILLIPS,147,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","16,634",17.4
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,PHILLIPS,147,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"54,745",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,PHILLIPS,147,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,078,138",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,PHILLIPS,147,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,360,21.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,REPUBLIC,157,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","7,334",20.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,REPUBLIC,157,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"21,856",13.5
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,REPUBLIC,157,,,0,,WHEAT,"WHEAT - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,174,835",14.3
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,REPUBLIC,157,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,193,21.6
CENSUS,2022,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,ROOKS,163,,,0,,WHEAT,WHEAT - ACRES HARVESTED,PRODUCERS,"PRODUCERS, PRINCIPAL: (SEX = FEMALE)","19,308",19.6
