Year,County,County ANSI,Yield,CV (%),Growing_Season_Precip_mm,Growing_Season_Temp_C,NAME,mean,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,soil_quality_score,slope_avg,temp_precip_interaction,lag_yield
2012,BARBER,7,,11.2,255.15999999999997,24.002778494623662,Barber,0.4353209007214364,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,6124.548960688173,
2012,BARBER,7,,12.9,255.15999999999997,24.002778494623662,Barber,0.4353209007214364,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,6124.548960688173,
2012,BARBER,7,,20.2,255.15999999999997,24.002778494623662,Barber,0.4353209007214364,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,6124.548960688173,
2017,BARBER,7,,29.8,444.02,21.4975064516129,Barber,0.4913323807788175,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,9545.322814645158,
2017,BARBER,7,,20.2,444.02,21.4975064516129,Barber,0.4913323807788175,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,9545.322814645158,
2017,BARBER,7,,20.1,444.02,21.4975064516129,Barber,0.4913323807788175,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,9545.322814645158,
2017,BARBER,7,,21.3,444.02,21.4975064516129,Barber,0.4913323807788175,470.0,0.0108,0.1584,0.5177,0.2756,0.0322,0.0053,0.0,0.0,0.1551,0.3305,0.1853,0.1599,0.1692,0.0,0.0,0.0197999998927116,64.0310516357422,4.7034707069397,30.366870880127,0.878808975219727,31.2456798553467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12500000000000003,9545.322814645158,
2012,BARTON,9,,11.2,216.35,23.03945591397848,Barton,0.4071330033012844,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,4984.5862869892435,
2012,BARTON,9,,12.9,216.35,23.03945591397848,Barton,0.4071330033012844,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,4984.5862869892435,
2012,BARTON,9,,20.2,216.35,23.03945591397848,Barton,0.4071330033012844,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,4984.5862869892435,
2017,BARTON,9,,29.8,370.7,20.361163440860203,Barton,0.4792910800047087,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,7547.883287526877,
2017,BARTON,9,,20.2,370.7,20.361163440860203,Barton,0.4792910800047087,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,7547.883287526877,
2017,BARTON,9,,20.1,370.7,20.361163440860203,Barton,0.4792910800047087,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,7547.883287526877,
2017,BARTON,9,,21.3,370.7,20.361163440860203,Barton,0.4792910800047087,553.0,0.1987,0.6536,0.1349,0.0126,0.0002,0.0,0.0,0.0,0.0463,0.053,0.014,0.0344,0.8523,0.0,0.0,0.708700001239777,35.8939208984375,1.62724912166595,54.4001235961914,7.37000799179077,61.7701301574707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,7547.883287526877,
2012,BOURBON,11,,11.2,341.31,23.89410430107528,Bourbon,0.605262181929425,271.0,0.0425,0.4462,0.3987,0.1014,0.0108,0.0004,0.0,0.0,0.1213,0.1552,0.0846,0.1502,0.4887,0.0,0.0,0.181699991226196,5.2766809463501,10.9932641983032,83.407112121582,0.141240298748016,83.5483551025391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,8155.296739000004,
2012,BOURBON,11,,12.9,341.31,23.89410430107528,Bourbon,0.605262181929425,271.0,0.0425,0.4462,0.3987,0.1014,0.0108,0.0004,0.0,0.0,0.1213,0.1552,0.0846,0.1502,0.4887,0.0,0.0,0.181699991226196,5.2766809463501,10.9932641983032,83.407112121582,0.141240298748016,83.5483551025391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,8155.296739000004,
2012,BOURBON,11,,,341.31,23.89410430107528,Bourbon,0.605262181929425,271.0,0.0425,0.4462,0.3987,0.1014,0.0108,0.0004,0.0,0.0,0.1213,0.1552,0.0846,0.1502,0.4887,0.0,0.0,0.181699991226196,5.2766809463501,10.9932641983032,83.407112121582,0.141240298748016,83.5483551025391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,8155.296739000004,
2017,BOURBON,11,805.0,29.8,781.36,21.50987634408602,Bourbon,0.7144869914692206,271.0,0.0425,0.4462,0.3987,0.1014,0.0108,0.0004,0.0,0.0,0.1213,0.1552,0.0846,0.1502,0.4887,0.0,0.0,0.181699991226196,5.2766809463501,10.9932641983032,83.407112121582,0.141240298748016,83.5483551025391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,16806.956980215055,
2017,BOURBON,11,,20.2,781.36,21.50987634408602,Bourbon,0.7144869914692206,271.0,0.0425,0.4462,0.3987,0.1014,0.0108,0.0004,0.0,0.0,0.1213,0.1552,0.0846,0.1502,0.4887,0.0,0.0,0.181699991226196,5.2766809463501,10.9932641983032,83.407112121582,0.141240298748016,83.5483551025391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,16806.956980215055,805.0
2017,BOURBON,11,,20.1,781.36,21.50987634408602,Bourbon,0.7144869914692206,271.0,0.0425,0.4462,0.3987,0.1014,0.0108,0.0004,0.0,0.0,0.1213,0.1552,0.0846,0.1502,0.4887,0.0,0.0,0.181699991226196,5.2766809463501,10.9932641983032,83.407112121582,0.141240298748016,83.5483551025391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,16806.956980215055,
2012,BROWN,13,,11.2,379.96000000000004,22.204587096774198,Brown,0.579822460416761,339.0,0.0134,0.2514,0.6254,0.1078,0.002,0.0,0.0,0.0,0.1624,0.2461,0.1445,0.1822,0.2648,0.0,0.0,0.696299970149994,0.595645010471344,2.46332693099976,96.0750045776367,0.169723600149155,96.2447280883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,8436.854913290324,
2012,BROWN,13,,12.9,379.96000000000004,22.204587096774198,Brown,0.579822460416761,339.0,0.0134,0.2514,0.6254,0.1078,0.002,0.0,0.0,0.0,0.1624,0.2461,0.1445,0.1822,0.2648,0.0,0.0,0.696299970149994,0.595645010471344,2.46332693099976,96.0750045776367,0.169723600149155,96.2447280883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,8436.854913290324,
2012,BROWN,13,,,379.96000000000004,22.204587096774198,Brown,0.579822460416761,339.0,0.0134,0.2514,0.6254,0.1078,0.002,0.0,0.0,0.0,0.1624,0.2461,0.1445,0.1822,0.2648,0.0,0.0,0.696299970149994,0.595645010471344,2.46332693099976,96.0750045776367,0.169723600149155,96.2447280883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,8436.854913290324,
2017,BROWN,13,791.0,29.8,466.97,20.07374193548388,Brown,0.6106519974857799,339.0,0.0134,0.2514,0.6254,0.1078,0.002,0.0,0.0,0.0,0.1624,0.2461,0.1445,0.1822,0.2648,0.0,0.0,0.696299970149994,0.595645010471344,2.46332693099976,96.0750045776367,0.169723600149155,96.2447280883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,9373.835271612908,
2017,BROWN,13,,20.2,466.97,20.07374193548388,Brown,0.6106519974857799,339.0,0.0134,0.2514,0.6254,0.1078,0.002,0.0,0.0,0.0,0.1624,0.2461,0.1445,0.1822,0.2648,0.0,0.0,0.696299970149994,0.595645010471344,2.46332693099976,96.0750045776367,0.169723600149155,96.2447280883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,9373.835271612908,791.0
2017,BROWN,13,,20.1,466.97,20.07374193548388,Brown,0.6106519974857799,339.0,0.0134,0.2514,0.6254,0.1078,0.002,0.0,0.0,0.0,0.1624,0.2461,0.1445,0.1822,0.2648,0.0,0.0,0.696299970149994,0.595645010471344,2.46332693099976,96.0750045776367,0.169723600149155,96.2447280883789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,9373.835271612908,
2012,BUTLER,15,,11.2,324.03,23.665696774193542,Butler,0.5292593404249888,423.0,0.0533,0.5223,0.402,0.0219,0.0005,0.0,0.0,0.0,0.0779,0.1141,0.0976,0.1348,0.5756,0.0,0.0,0.331599980592728,71.955696105957,0.352775126695633,27.2116870880127,0.148239806294441,27.3599262237549,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,7668.395725741932,
2012,BUTLER,15,,12.9,324.03,23.665696774193542,Butler,0.5292593404249888,423.0,0.0533,0.5223,0.402,0.0219,0.0005,0.0,0.0,0.0,0.0779,0.1141,0.0976,0.1348,0.5756,0.0,0.0,0.331599980592728,71.955696105957,0.352775126695633,27.2116870880127,0.148239806294441,27.3599262237549,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,7668.395725741932,
2012,BUTLER,15,89.0,20.2,324.03,23.665696774193542,Butler,0.5292593404249888,423.0,0.0533,0.5223,0.402,0.0219,0.0005,0.0,0.0,0.0,0.0779,0.1141,0.0976,0.1348,0.5756,0.0,0.0,0.331599980592728,71.955696105957,0.352775126695633,27.2116870880127,0.148239806294441,27.3599262237549,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,7668.395725741932,
2017,BUTLER,15,,29.8,577.94,21.23806774193548,Butler,0.6001273461602136,423.0,0.0533,0.5223,0.402,0.0219,0.0005,0.0,0.0,0.0,0.0779,0.1141,0.0976,0.1348,0.5756,0.0,0.0,0.331599980592728,71.955696105957,0.352775126695633,27.2116870880127,0.148239806294441,27.3599262237549,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,12274.328870774194,89.0
2017,BUTLER,15,,20.2,577.94,21.23806774193548,Butler,0.6001273461602136,423.0,0.0533,0.5223,0.402,0.0219,0.0005,0.0,0.0,0.0,0.0779,0.1141,0.0976,0.1348,0.5756,0.0,0.0,0.331599980592728,71.955696105957,0.352775126695633,27.2116870880127,0.148239806294441,27.3599262237549,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,12274.328870774194,
2017,BUTLER,15,,20.1,577.94,21.23806774193548,Butler,0.6001273461602136,423.0,0.0533,0.5223,0.402,0.0219,0.0005,0.0,0.0,0.0,0.0779,0.1141,0.0976,0.1348,0.5756,0.0,0.0,0.331599980592728,71.955696105957,0.352775126695633,27.2116870880127,0.148239806294441,27.3599262237549,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,12274.328870774194,
2012,CHASE,17,,11.2,294.53999999999996,23.27780107526882,Chase,0.5113726482264259,396.0,0.0203,0.2082,0.4933,0.2499,0.0241,0.0042,0.0,0.0,0.186,0.2503,0.1948,0.1404,0.2285,0.0,0.0,0.0324000008404255,60.7003288269043,13.2253198623657,25.5196895599365,0.522261083126068,26.0419502258301,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.4285714285714286,0.125,6856.243528709677,
2012,CHASE,17,,12.9,294.53999999999996,23.27780107526882,Chase,0.5113726482264259,396.0,0.0203,0.2082,0.4933,0.2499,0.0241,0.0042,0.0,0.0,0.186,0.2503,0.1948,0.1404,0.2285,0.0,0.0,0.0324000008404255,60.7003288269043,13.2253198623657,25.5196895599365,0.522261083126068,26.0419502258301,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.4285714285714286,0.125,6856.243528709677,
2017,CHASE,17,,29.8,515.37,20.8719741935484,Chase,0.6133173116054234,396.0,0.0203,0.2082,0.4933,0.2499,0.0241,0.0042,0.0,0.0,0.186,0.2503,0.1948,0.1404,0.2285,0.0,0.0,0.0324000008404255,60.7003288269043,13.2253198623657,25.5196895599365,0.522261083126068,26.0419502258301,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.4285714285714286,0.125,10756.789340129038,
2017,CHASE,17,,20.2,515.37,20.8719741935484,Chase,0.6133173116054234,396.0,0.0203,0.2082,0.4933,0.2499,0.0241,0.0042,0.0,0.0,0.186,0.2503,0.1948,0.1404,0.2285,0.0,0.0,0.0324000008404255,60.7003288269043,13.2253198623657,25.5196895599365,0.522261083126068,26.0419502258301,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.4285714285714286,0.125,10756.789340129038,
2017,CHASE,17,,20.1,515.37,20.8719741935484,Chase,0.6133173116054234,396.0,0.0203,0.2082,0.4933,0.2499,0.0241,0.0042,0.0,0.0,0.186,0.2503,0.1948,0.1404,0.2285,0.0,0.0,0.0324000008404255,60.7003288269043,13.2253198623657,25.5196895599365,0.522261083126068,26.0419502258301,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.4285714285714286,0.125,10756.789340129038,
2012,CHAUTAUQUA,19,,11.2,393.89,24.28856989247314,Chautauqua,0.5851133017711496,285.0,0.0149,0.1578,0.4291,0.3369,0.0551,0.0062,0.0,0.0,0.1709,0.2411,0.1916,0.2237,0.1727,0.0,0.0,0.198199987411499,37.4460029602051,15.7427368164063,46.5835113525391,0.0295483991503716,46.6130599975586,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,9567.024794946245,
2012,CHAUTAUQUA,19,,12.9,393.89,24.28856989247314,Chautauqua,0.5851133017711496,285.0,0.0149,0.1578,0.4291,0.3369,0.0551,0.0062,0.0,0.0,0.1709,0.2411,0.1916,0.2237,0.1727,0.0,0.0,0.198199987411499,37.4460029602051,15.7427368164063,46.5835113525391,0.0295483991503716,46.6130599975586,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,9567.024794946245,
2017,CHAUTAUQUA,19,445.0,29.8,713.9200000000001,21.64502903225808,Chautauqua,0.6598398558808312,285.0,0.0149,0.1578,0.4291,0.3369,0.0551,0.0062,0.0,0.0,0.1709,0.2411,0.1916,0.2237,0.1727,0.0,0.0,0.198199987411499,37.4460029602051,15.7427368164063,46.5835113525391,0.0295483991503716,46.6130599975586,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,15452.81912670969,
2017,CHAUTAUQUA,19,,20.2,713.9200000000001,21.64502903225808,Chautauqua,0.6598398558808312,285.0,0.0149,0.1578,0.4291,0.3369,0.0551,0.0062,0.0,0.0,0.1709,0.2411,0.1916,0.2237,0.1727,0.0,0.0,0.198199987411499,37.4460029602051,15.7427368164063,46.5835113525391,0.0295483991503716,46.6130599975586,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,15452.81912670969,445.0
2017,CHAUTAUQUA,19,,20.1,713.9200000000001,21.64502903225808,Chautauqua,0.6598398558808312,285.0,0.0149,0.1578,0.4291,0.3369,0.0551,0.0062,0.0,0.0,0.1709,0.2411,0.1916,0.2237,0.1727,0.0,0.0,0.198199987411499,37.4460029602051,15.7427368164063,46.5835113525391,0.0295483991503716,46.6130599975586,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1428571428571428,0.125,15452.81912670969,
2012,CHEROKEE,21,,11.2,441.49,24.11313978494626,Cherokee,0.5734780740078127,265.0,0.0697,0.5906,0.2899,0.0447,0.0051,0.0,0.0,0.0,0.0644,0.0991,0.0868,0.0894,0.6603,0.0,0.0,7.49079990386963,11.7722568511963,4.54777193069458,76.0841751098633,0.104992002248764,76.1891708374023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,10645.710083655924,
2012,CHEROKEE,21,,12.9,441.49,24.11313978494626,Cherokee,0.5734780740078127,265.0,0.0697,0.5906,0.2899,0.0447,0.0051,0.0,0.0,0.0,0.0644,0.0991,0.0868,0.0894,0.6603,0.0,0.0,7.49079990386963,11.7722568511963,4.54777193069458,76.0841751098633,0.104992002248764,76.1891708374023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,10645.710083655924,
2012,CHEROKEE,21,24.0,20.2,441.49,24.11313978494626,Cherokee,0.5734780740078127,265.0,0.0697,0.5906,0.2899,0.0447,0.0051,0.0,0.0,0.0,0.0644,0.0991,0.0868,0.0894,0.6603,0.0,0.0,7.49079990386963,11.7722568511963,4.54777193069458,76.0841751098633,0.104992002248764,76.1891708374023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,10645.710083655924,
2017,CHEROKEE,21,,29.8,890.61,21.78623763440864,Cherokee,0.6744769587272408,265.0,0.0697,0.5906,0.2899,0.0447,0.0051,0.0,0.0,0.0,0.0644,0.0991,0.0868,0.0894,0.6603,0.0,0.0,7.49079990386963,11.7722568511963,4.54777193069458,76.0841751098633,0.104992002248764,76.1891708374023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,19403.041099580678,24.0
2017,CHEROKEE,21,,,890.61,21.78623763440864,Cherokee,0.6744769587272408,265.0,0.0697,0.5906,0.2899,0.0447,0.0051,0.0,0.0,0.0,0.0644,0.0991,0.0868,0.0894,0.6603,0.0,0.0,7.49079990386963,11.7722568511963,4.54777193069458,76.0841751098633,0.104992002248764,76.1891708374023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12499999999999999,19403.041099580678,
